applicant_id,credit_score,debt_to_income_ratio,credit_utilization_ratio,late_payments_24m,annual_income,years_employed,requested_credit_limit,total_credit_exposure,disposable_income,product_type,dti_flag,utilization_flag,late_payment_flag,credit_score_flag,risk_indicator_count,risk_segment,requested_exposure,broad_policy,balanced_policy,strict_policy
100000,634,0.115,0.147,0,71300.0,4.2,20065.47,13616.55,2312.26,Credit Card,0,0,0,0,0,Low Indicator,20065.47,True,True,True
100001,678,0.323,0.2888,0,33200.0,1.3,53674.52,17378.07,869.98,Credit Card,0,0,0,0,0,Low Indicator,53674.52,True,True,True
100002,579,0.242,0.2582,0,67500.0,4.2,82440.46,39941.43,1305.56,Credit Card,0,0,0,1,1,Moderate Indicator,82440.46,True,True,False
100003,588,0.301,0.1301,0,42100.0,2.1,58169.23,25271.82,1133.8,Credit Card,0,0,0,0,0,Low Indicator,58169.23,True,True,True
100004,730,0.0,0.1626,0,20000.0,0.0,78661.13,1195.75,1071.71,Credit Card,0,0,0,0,0,Low Indicator,78661.13,True,True,True
100005,666,0.287,0.3747,1,25100.0,0.0,102771.75,13923.06,658.87,Credit Card,0,0,0,0,0,Low Indicator,102771.75,True,True,True
100006,777,0.147,0.0667,0,48200.0,13.5,17678.88,15627.35,1561.31,Personal Loan,0,0,0,0,0,Low Indicator,17678.88,True,True,True
100007,604,0.0,0.1663,0,110100.0,2.3,98500.27,4862.93,5697.76,Personal Loan,0,0,0,0,0,Low Indicator,98500.27,True,True,True
100008,659,0.12,0.2823,0,64600.0,27.0,113639.04,13995.09,2479.5,Personal Loan,0,0,0,0,0,Low Indicator,113639.04,True,True,True
100009,665,0.237,0.2348,0,32100.0,3.5,29815.01,11511.97,915.38,Personal Loan,0,0,0,0,0,Low Indicator,29815.01,True,True,True
100010,630,0.303,0.2033,0,113100.0,2.6,33577.76,39612.04,1136.43,Personal Loan,0,0,0,0,0,Low Indicator,33577.76,True,True,True
100011,709,0.265,0.12,0,99400.0,4.2,44971.4,23242.33,1306.89,Personal Loan,0,0,0,0,0,Low Indicator,44971.4,True,True,True
100012,679,0.28,0.146,0,33100.0,0.9,17618.93,18986.84,324.91,Credit Card,0,0,0,0,0,Low Indicator,17618.93,True,True,True
100013,614,0.123,0.1545,0,32600.0,11.2,81148.67,8673.06,1411.52,Credit Card,0,0,0,0,0,Low Indicator,81148.67,True,True,True
100014,677,0.251,0.2874,0,40700.0,9.9,16319.76,29019.5,591.32,Credit Card,0,0,0,0,0,Low Indicator,16319.76,True,True,True
100015,554,0.168,0.2478,0,30500.0,10.4,13826.83,12978.43,797.32,Credit Card,0,0,0,1,1,Moderate Indicator,13826.83,True,True,False
100016,616,0.298,0.2074,0,75500.0,3.2,92548.31,48908.61,1795.77,Credit Card,0,0,0,0,0,Low Indicator,92548.31,True,True,True
100017,643,0.342,0.1864,0,74800.0,2.7,87766.44,24772.89,1826.33,Personal Loan,0,0,0,0,0,Low Indicator,87766.44,True,True,True
100018,720,0.341,0.2034,0,60800.0,19.1,112635.38,40169.04,884.1,Personal Loan,0,0,0,0,0,Low Indicator,112635.38,True,True,True
100019,719,0.265,0.3219,0,25800.0,0.0,12984.68,10850.35,644.53,Credit Line,0,0,0,0,0,Low Indicator,12984.68,True,True,True
100020,590,0.356,0.1346,0,33700.0,0.0,15853.74,24136.4,145.52,Credit Line,0,0,0,0,0,Low Indicator,15853.74,True,True,True
100021,632,0.216,0.2161,0,46500.0,1.8,105563.53,15651.75,1289.58,Personal Loan,0,0,0,0,0,Low Indicator,105563.53,True,True,True
