Feature,Mean_Absolute_SHAP
num__debt_to_income_ratio,0.418728576450928
num__dti_percent,0.41872857645092715
cat__income_type_Working,0.3439973498973733
num__annual_income,0.3047097774818376
num__years_employed,0.2794296327442289
num__monthly_expenses,0.2700029991713076
cat__own_property_N,0.263644381658666
num__monthly_debt_obligation,0.23198348503011468
num__credit_history_months,0.2302910757225378
num__disposable_income,0.19650855824166655
num__existing_credit_lines,0.1865957577216173
cat__income_type_Commercial associate,0.18506784378049576
cat__own_property_Y,0.16016580995600374
cat__income_type_State servant,0.132911383367933
cat__own_car_N,0.13067557945582994
cat__income_type_Student,0.12024085411428087
num__credit_score,0.0867033912715632
cat__family_status_Married,0.08159341298858931
num__exposure_to_income,0.07297696680363996
cat__gender_M,0.06954713302391276
num__current_credit_balance,0.05950527732080816
cat__application_channel_Mobile App,0.05536779167342337
num__total_outstanding_debt,0.04891588025336406
cat__product_type_Personal Loan,0.04501925369296355
num__requested_limit_to_income,0.04436795909090779
cat__occupation_type_Managers,0.04146228419595821
num__current_credit_limit,0.04066663801522883
cat__application_purpose_Education,0.04011892242459782
cat__gender_F,0.03929802572332843
cat__product_type_Credit Card,0.03675613880187711
cat__education_type_Secondary,0.03244477973132767
cat__occupation_type_Medicine staff,0.027663644001870064
cat__family_status_Civil marriage,0.026293058128714332
cat__housing_type_Rented apartment,0.02596321904039593
num__age,0.02483240132315841
num__has_email,0.024280188905752845
num__utilization_percent,0.024181979654081958
num__credit_utilization_ratio,0.02418197965408116
cat__application_purpose_Emergency Expense,0.023974704383630138
cat__family_status_Single / not married,0.023839241222896178
cat__application_channel_Branch,0.02362355225599846
cat__own_car_Y,0.023240571380997586
num__total_credit_exposure,0.022892611308634375
num__disposable_income_ratio,0.022065593501062433
num__late_payments_24m,0.021187040814929826
cat__application_purpose_General Spending,0.020519427689972534
cat__application_purpose_Travel,0.01971458512089591
cat__occupation_type_Sales staff,0.016409457293241878
num__has_work_phone,0.015143791307236013
num__family_size,0.014711538053935509
cat__family_status_Separated,0.01426649443315947
cat__housing_type_With parents,0.012415684915341502
cat__education_type_Incomplete higher,0.012369813136930257
cat__occupation_type_Drivers,0.011685067021937284
num__num_children,0.010702110494769356
cat__occupation_type_Accountants,0.010663614075660162
cat__housing_type_House / apartment,0.009789071752950376
cat__occupation_type_High skill tech staff,0.009619796981017477
cat__application_channel_Web,0.009305134201392763
cat__education_type_Higher education,0.0083802794403204
cat__family_status_Widow,0.008300450905986058
cat__income_type_Pensioner,0.008238637477927557
cat__application_purpose_Debt Consolidation,0.007379850829484702
cat__occupation_type_Security staff,0.005977363619432815
cat__education_type_Academic degree,0.005155869505993215
cat__occupation_type_Laborers,0.0047037799163847345
cat__occupation_type_Unknown,0.004529625550113148
cat__occupation_type_Core staff,0.004527689408511326
cat__occupation_type_Unemployed,0.004457835176324209
cat__occupation_type_Cooking staff,0.0038151447649361564
cat__product_type_Credit Line,0.0028239179630520283
num__requested_credit_limit,0.002690943811479316
cat__housing_type_Co-op apartment,0.002105631320754056
cat__education_type_Lower secondary,0.0020313246765864836
cat__application_channel_Partner,0.0014891546540963347
cat__housing_type_Municipal apartment,0.0002726959457979277
cat__own_car_Unknown,7.314421970615545e-05
