applicant_id,gender,age,num_children,family_size,family_status,education_type,housing_type,own_car,own_property,income_type,occupation_type,annual_income,years_employed,credit_history_months,existing_credit_lines,debt_to_income_ratio,late_payments_24m,has_email,has_work_phone,approved,application_date,product_type,requested_credit_limit,application_channel,application_purpose,monthly_debt_obligation,monthly_expenses,total_outstanding_debt,current_credit_limit,current_credit_balance,credit_score,synthetic_enrichment,synthetic_version,monthly_income,disposable_income,credit_utilization_ratio,total_credit_exposure,income_band,dti_band,credit_history_band,employment_band,payment_risk_indicator,model_target_approval
100000,M,33,0,2,Married,Secondary,With parents,N,Y,Commercial associate,Laborers,71300.0,4.2,21,1,0.115,0,0,1,1,2025-02-25,Credit Card,20065.47,Mobile App,General Spending,660.14,2969.27,8274.17,36334.85,5342.38,634,1,v1.0,5941.67,2312.26,0.147,13616.55,High,Low,Developing,Experienced,Low,1
100001,F,42,3,4,Married,Secondary,Rented apartment,N,Y,Working,High skill tech staff,33200.0,1.3,75,3,0.323,0,1,1,0,2026-04-28,Credit Card,53674.52,Branch,General Spending,830.36,1066.33,7063.8,35720.22,10314.27,678,1,v1.0,2766.67,869.98,0.2888,17378.07,Medium,Moderate,Long,Early Career,Low,0
100002,F,48,0,1,Widow,Secondary,House / apartment,N,Y,Working,Managers,67500.0,4.2,35,1,0.242,0,1,0,1,2026-02-12,Credit Card,82440.46,Partner,Education,1243.43,3076.01,29662.97,39803.79,10278.46,579,1,v1.0,5625.0,1305.56,0.2582,39941.43,High,Moderate,Developing,Experienced,Low,1
100003,F,31,0,1,Married,Higher education,With parents,Y,Y,Commercial associate,Laborers,42100.0,2.1,50,1,0.301,0,1,0,0,2025-10-01,Credit Card,58169.23,Mobile App,General Spending,960.28,1414.25,22678.24,19934.26,2593.58,588,1,v1.0,3508.33,1133.8,0.1301,25271.82,Medium,Moderate,Established,Early Career,Low,0
100004,M,48,1,3,Separated,Incomplete higher,House / apartment,N,N,Pensioner,Laborers,20000.0,0.0,167,0,0.0,0,0,0,1,2025-09-27,Credit Card,78661.13,Branch,General Spending,0.0,594.96,0.0,7355.47,1195.75,730,1,v1.0,1666.67,1071.71,0.1626,1195.75,Low,Low,Long,Experienced,Low,1
100005,M,40,0,2,Married,Secondary,With parents,N,Y,Pensioner,Laborers,25100.0,0.0,56,1,0.287,1,0,0,0,2026-06-19,Credit Card,102771.75,Branch,General Spending,596.52,836.28,5965.06,21239.79,7958.0,666,1,v1.0,2091.67,658.87,0.3747,13923.06,Low,Moderate,Established,New,Moderate,0
100006,M,51,0,2,Married,Secondary,House / apartment,Y,Y,Working,Drivers,48200.0,13.5,140,2,0.147,0,0,0,1,2025-02-23,Personal Loan,17678.88,Partner,General Spending,633.18,1822.18,12397.61,48453.52,3229.74,777,1,v1.0,4016.67,1561.31,0.0667,15627.35,Medium,Low,Long,Long Tenure,Low,1
100007,F,37,0,1,Married,Secondary,House / apartment,Y,Y,State servant,Laborers,110100.0,2.3,98,0,0.0,0,1,1,1,2026-03-11,Personal Loan,98500.27,Web,Emergency Expense,0.0,3477.24,0.0,29237.2,4862.93,604,1,v1.0,9175.0,5697.76,0.1663,4862.93,Very High,Low,Long,Early Career,Low,1
100008,F,44,0,1,Married,Secondary,Rented apartment,N,Y,Working,Sales staff,64600.0,27.0,55,2,0.12,0,0,0,1,2025-05-06,Personal Loan,113639.04,Mobile App,General Spending,653.37,2250.46,5716.67,29321.89,8278.42,659,1,v1.0,5383.33,2479.5,0.2823,13995.09,High,Low,Established,Long Tenure,Low,1
100009,F,39,0,2,Married,Secondary,House / apartment,Y,Y,Commercial associate,Laborers,32100.0,3.5,74,1,0.237,0,1,0,0,2025-02-28,Personal Loan,29815.01,Mobile App,Travel,586.72,1172.9,5928.15,23784.33,5583.82,665,1,v1.0,2675.0,915.38,0.2348,11511.97,Medium,Moderate,Long,Experienced,Low,0
100010,M,38,2,3,Separated,Secondary,Rented apartment,N,N,Commercial associate,Laborers,113100.0,2.6,73,3,0.303,0,1,0,0,2025-11-24,Personal Loan,33577.76,Branch,Emergency Expense,2974.28,5314.29,25769.16,68096.73,13842.88,630,1,v1.0,9425.0,1136.43,0.2033,39612.04,Very High,Moderate,Long,Early Career,Low,0
100011,F,42,4,5,Separated,Secondary,House / apartment,Unknown,N,Working,Unemployed,99400.0,4.2,119,1,0.265,0,1,0,1,2026-08-31,Personal Loan,44971.4,Branch,Debt Consolidation,2004.98,4971.46,19728.32,29292.81,3514.01,709,1,v1.0,8283.33,1306.89,0.12,23242.33,High,Moderate,Long,Experienced,Low,1
100012,F,45,0,1,Married,Higher education,Rented apartment,Y,N,Commercial associate,Core staff,33100.0,0.9,107,3,0.28,0,1,0,0,2026-04-04,Credit Card,17618.93,Web,Travel,809.55,1623.87,13660.39,36479.43,5326.45,679,1,v1.0,2758.33,324.91,0.146,18986.84,Medium,Moderate,Long,New,Low,0
100013,M,26,0,2,Single / not married,Higher education,Municipal apartment,Y,Y,Working,Managers,32600.0,11.2,27,1,0.123,0,1,0,0,2026-04-20,Credit Card,81148.67,Mobile App,General Spending,306.43,998.72,6058.95,16920.13,2614.11,614,1,v1.0,2716.67,1411.52,0.1545,8673.06,Medium,Low,Developing,Long Tenure,Low,0
100014,M,55,0,2,Married,Lower secondary,House / apartment,N,Y,State servant,Laborers,40700.0,9.9,91,2,0.251,0,1,0,0,2026-03-23,Credit Card,16319.76,Mobile App,Debt Consolidation,821.6,1978.75,19433.63,33350.08,9585.87,677,1,v1.0,3391.67,591.32,0.2874,29019.5,Medium,Moderate,Long,Long Tenure,Low,0
100015,M,21,0,1,Widow,Higher education,With parents,Unknown,N,Working,Laborers,30500.0,10.4,0,1,0.168,0,1,0,0,2026-05-05,Credit Card,13826.83,Web,Debt Consolidation,412.04,1332.31,9785.42,12884.21,3193.01,554,1,v1.0,2541.67,797.32,0.2478,12978.43,Medium,Low,New,Long Tenure,Low,0
100016,M,32,0,2,Married,Secondary,House / apartment,Y,N,State servant,Drivers,75500.0,3.2,43,1,0.298,0,0,0,0,2025-11-16,Credit Card,92548.31,Partner,General Spending,2084.75,2411.15,43780.64,24727.94,5127.97,616,1,v1.0,6291.67,1795.77,0.2074,48908.61,High,Moderate,Established,Experienced,Low,0
100017,F,38,0,2,Married,Higher education,House / apartment,N,Y,Working,Core staff,74800.0,2.7,71,3,0.342,0,0,0,0,2025-03-21,Personal Loan,87766.44,Mobile App,General Spending,1716.68,2690.32,15077.35,52001.16,9695.54,643,1,v1.0,6233.33,1826.33,0.1864,24772.89,High,Moderate,Long,Early Career,Low,0
100018,M,44,3,5,Married,Secondary,House / apartment,N,N,Working,Drivers,60800.0,19.1,114,3,0.341,0,1,0,0,2026-06-08,Personal Loan,112635.38,Web,Debt Consolidation,2049.89,2132.68,31234.53,43924.15,8934.51,720,1,v1.0,5066.67,884.1,0.2034,40169.04,High,Moderate,Long,Long Tenure,Low,0
100019,M,57,0,1,Single / not married,Higher education,House / apartment,N,Y,Pensioner,Sales staff,25800.0,0.0,201,2,0.265,0,0,1,0,2025-10-08,Credit Line,12984.68,Web,Debt Consolidation,533.02,972.45,4682.81,19159.59,6167.54,719,1,v1.0,2150.0,644.53,0.3219,10850.35,Low,Moderate,Long,New,Low,0
100020,F,21,0,2,Married,Secondary,House / apartment,N,N,Pensioner,Managers,33700.0,0.0,0,3,0.356,0,0,1,0,2025-11-08,Credit Line,15853.74,Branch,Emergency Expense,989.9,1672.91,18006.67,45534.82,6129.73,590,1,v1.0,2808.33,145.52,0.1346,24136.4,Medium,High,New,New,Low,0
100021,M,34,0,2,Single / not married,Secondary,House / apartment,N,Y,Commercial associate,Security staff,46500.0,1.8,33,2,0.216,0,1,0,0,2025-08-20,Personal Loan,105563.53,Branch,General Spending,864.68,1720.74,9081.21,30408.54,6570.54,632,1,v1.0,3875.0,1289.58,0.2161,15651.75,Medium,Moderate,Developing,Early Career,Low,0
100022,M,21,0,1,Separated,Higher education,House / apartment,Y,N,Working,Drivers,44900.0,4.7,0,0,0.267,0,0,0,0,2025-04-24,Credit Card,17351.7,Mobile App,General Spending,1025.21,1194.09,18978.15,17417.23,3247.69,615,1,v1.0,3741.67,1522.37,0.1865,22225.84,Medium,Moderate,New,Experienced,Low,0
100023,M,40,2,4,Married,Secondary,With parents,Y,Y,Working,High skill tech staff,50200.0,6.7,28,1,0.399,0,1,1,1,2026-08-01,Personal Loan,55067.82,Web,Education,1781.8,2334.58,21469.09,28514.22,9141.37,588,1,v1.0,4183.33,66.95,0.3206,30610.46,Medium,High,Developing,Experienced,Low,1
100024,M,42,0,2,Married,Secondary,Rented apartment,N,Y,Commercial associate,Security staff,58700.0,0.6,37,0,0.112,0,1,0,1,2026-05-02,Personal Loan,109979.57,Branch,General Spending,574.62,2814.95,10592.21,17519.35,2869.52,658,1,v1.0,4891.67,1502.1,0.1638,13461.73,Medium,Low,Established,New,Low,1
100025,F,57,3,5,Married,Secondary,Rented apartment,N,N,Student,High skill tech staff,23200.0,12.9,142,3,0.36,1,1,0,0,2026-02-06,Personal Loan,53594.06,Partner,Education,809.42,967.24,15942.8,22049.21,5161.81,686,1,v1.0,1933.33,156.67,0.2341,21104.61,Low,High,Long,Long Tenure,Moderate,0
100026,M,41,0,1,Married,Higher education,House / apartment,Y,Y,Working,Drivers,33700.0,3.5,83,0,0.207,0,1,1,1,2025-09-08,Credit Card,31525.57,Web,Emergency Expense,615.35,1309.51,7762.31,10647.63,3567.93,720,1,v1.0,2808.33,883.47,0.3351,11330.24,Medium,Moderate,Long,Experienced,Low,1
100027,F,51,1,2,Married,Secondary,House / apartment,N,N,Working,Medicine staff,50100.0,9.6,151,1,0.252,0,0,0,0,2026-05-28,Credit Card,105964.13,Mobile App,Debt Consolidation,1042.22,2380.74,24874.08,25088.44,6007.63,726,1,v1.0,4175.0,752.04,0.2395,30881.71,Medium,Moderate,Long,Long Tenure,Low,0
100028,F,46,4,6,Married,Higher education,House / apartment,Y,N,Working,High skill tech staff,54900.0,9.6,153,0,0.34,0,1,0,1,2025-12-06,Credit Line,20983.07,Web,General Spending,1486.68,1407.86,17371.3,21029.27,5493.43,681,1,v1.0,4575.0,1680.46,0.2612,22864.73,Medium,Moderate,Long,Long Tenure,Low,1
100029,M,35,0,2,Widow,Incomplete higher,House / apartment,N,Y,Pensioner,Drivers,29000.0,0.0,86,1,0.249,0,1,0,0,2025-10-04,Credit Card,31901.37,Web,Travel,573.88,1219.13,5486.17,20781.37,2268.11,675,1,v1.0,2416.67,623.66,0.1091,7754.28,Low,Moderate,Long,New,Low,0
100030,F,24,0,2,Married,Secondary,House / apartment,N,N,Working,Sales staff,23200.0,2.9,13,0,0.211,0,1,1,0,2025-10-08,Credit Card,104569.52,Mobile App,Education,450.14,1224.14,7807.35,5000.0,916.39,590,1,v1.0,1933.33,259.05,0.1833,8723.74,Low,Moderate,Developing,Early Career,Low,0
100031,M,43,2,4,Married,Incomplete higher,House / apartment,Y,Y,Commercial associate,Laborers,50800.0,4.9,116,1,0.243,0,0,0,0,2025-05-22,Credit Card,59134.19,Partner,Emergency Expense,1173.15,2446.88,17101.33,21242.13,3403.26,689,1,v1.0,4233.33,613.3,0.1602,20504.59,Medium,Moderate,Long,Experienced,Low,0
100032,M,23,0,2,Married,Incomplete higher,House / apartment,Y,Y,Pensioner,Core staff,24700.0,0.0,9,2,0.289,0,1,1,0,2025-02-27,Credit Card,104057.11,Mobile App,Emergency Expense,642.64,815.99,13678.23,20424.17,4605.17,571,1,v1.0,2058.33,599.7,0.2255,18283.4,Low,Moderate,New,New,Low,0
100033,F,54,1,3,Married,Academic degree,House / apartment,N,Y,Pensioner,Unknown,20300.0,0.0,68,2,0.319,1,0,1,0,2025-12-12,Credit Card,29054.94,Partner,Debt Consolidation,403.03,1050.85,6551.48,22407.87,3839.68,569,1,v1.0,1691.67,237.79,0.1714,10391.16,Low,Moderate,Long,New,Moderate,0
100034,F,38,0,1,Married,Secondary,Rented apartment,N,Y,Working,Managers,70800.0,10.2,107,2,0.186,0,0,1,1,2026-07-08,Credit Line,27568.3,Web,General Spending,900.12,2188.09,10876.16,34449.25,7300.43,690,1,v1.0,5900.0,2811.79,0.2119,18176.59,High,Low,Long,Long Tenure,Low,1
100035,F,53,0,2,Separated,Secondary,Co-op apartment,N,N,Pensioner,Laborers,43300.0,0.0,184,3,0.163,0,1,1,0,2025-02-09,Personal Loan,58502.69,Mobile App,Education,587.8,1773.23,9633.35,31926.78,8342.49,742,1,v1.0,3608.33,1247.3,0.2613,17975.84,Medium,Low,Long,New,Low,0
