column,data_type,missing_count,missing_percentage,unique_values
applicant_id,int64,0,0.0,12000
gender,object,0,0.0,2
age,int64,0,0.0,50
num_children,int64,0,0.0,5
family_size,int64,0,0.0,6
family_status,object,0,0.0,5
education_type,object,0,0.0,5
housing_type,object,0,0.0,5
own_car,object,134,1.12,3
own_property,object,0,0.0,2
income_type,object,0,0.0,5
occupation_type,object,734,6.12,12
annual_income,float64,0,0.0,1344
years_employed,float64,351,2.92,351
credit_history_months,int64,0,0.0,275
existing_credit_lines,int64,0,0.0,8
debt_to_income_ratio,float64,0,0.0,525
late_payments_24m,int64,0,0.0,7
has_email,int64,0,0.0,2
has_work_phone,int64,0,0.0,2
approved,int64,0,0.0,2
application_date,object,0,0.0,623
product_type,object,0,0.0,3
requested_credit_limit,float64,0,0.0,11989
application_channel,object,0,0.0,4
application_purpose,object,0,0.0,5
monthly_debt_obligation,float64,0,0.0,11585
monthly_expenses,float64,0,0.0,11808
total_outstanding_debt,float64,0,0.0,11874
current_credit_limit,float64,0,0.0,11860
current_credit_balance,float64,0,0.0,11945
credit_score,int64,0,0.0,307
synthetic_enrichment,int64,0,0.0,1
synthetic_version,object,0,0.0,1
monthly_income,float64,0,0.0,1344
disposable_income,float64,0,0.0,11751
credit_utilization_ratio,float64,0,0.0,3520
total_credit_exposure,float64,0,0.0,11988
income_band,object,0,0.0,4
dti_band,object,0,0.0,4
credit_history_band,object,0,0.0,4
employment_band,object,0,0.0,4
payment_risk_indicator,object,0,0.0,4
model_target_approval,int64,0,0.0,2
